STUDBME2,Merna,Enas,Redmi,region
66,52,82,34,0
46,46,96,34,0
52,30,100,24,0
52,48,90,26,0
52,46,70,32,0
54,44,92,32,0
42,36,100,26,0
40,30,86,32,0
40,46,94,32,0
40,24,94,32,0
54,34,88,32,0
54,40,90,32,0
38,32,96,32,0
60,36,90,32,0
52,56,100,32,0
44,44,92,32,0
58,68,88,32,0
54,66,90,32,0
60,58,84,32,0
58,60,90,32,0
58,66,90,32,0
56,70,70,32,0
56,52,90,32,0
60,48,96,32,0
60,52,96,32,0
66,34,96,32,0
46,36,62,32,0
62,36,78,32,0
52,30,94,32,0
52,30,100,32,0
48,30,74,32,0
52,28,100,32,0
52,12,96,32,0
52,12,98,32,0
56,12,94,32,0
56,28,84,32,0
56,28,84,32,0
56,28,96,32,0
56,28,100,32,0
40,28,100,32,0
52,28,74,32,0
48,28,92,32,0
40,28,100,32,0
40,28,100,32,0
44,28,84,32,0
44,28,100,32,0
38,28,100,32,0
38,28,100,32,0
38,28,100,32,0
38,28,86,32,0
38,28,84,32,0
38,28,94,32,0
40,28,100,32,0
40,28,100,32,0
44,28,100,32,0
52,28,98,32,0
28,28,100,32,0
44,28,100,32,0
46,28,100,32,0
52,28,100,32,0
52,28,92,32,0
56,28,96,32,0
56,28,92,32,0
56,28,86,32,0
60,28,78,32,0
60,28,78,32,0
60,28,90,32,0
60,28,78,32,0
60,28,58,32,0
50,28,64,32,0
50,28,90,32,0
72,70,88,32,0
40,70,88,32,0
56,86,74,32,0
56,86,100,32,0
56,78,94,32,0
46,84,70,32,0
46,80,68,32,0
44,78,86,32,0
54,82,74,32,0
42,82,84,32,0
42,92,84,32,0
42,92,80,32,0
42,72,92,32,0
52,72,90,32,0
52,72,100,32,0
46,72,88,32,0
46,72,88,32,0
40,72,88,32,0
46,72,100,32,0
48,72,100,32,0
50,72,98,32,0
38,72,100,32,0
38,72,100,32,0
44,72,100,32,0
46,72,96,32,0
46,72,88,32,0
46,72,70,32,0
60,72,92,32,0
60,72,78,32,0
50,72,100,32,0
54,22,90,32,0
54,70,90,32,0
52,64,90,32,0
52,72,86,32,0
58,72,92,32,0
66,86,86,32,0
62,86,74,32,0
66,72,88,32,0
42,72,98,32,0
60,56,72,32,0
60,52,68,32,0
60,66,86,32,0
60,60,100,32,0
60,56,94,32,0
60,62,100,32,0
60,66,84,32,0
60,66,86,32,0
52,66,90,32,0
52,80,100,32,0
86,100,58,26,1
68,98,68,26,1
68,90,62,26,1
68,90,82,26,1
88,100,86,26,1
88,94,76,26,1
56,86,84,26,1
70,92,78,26,1
68,72,80,26,1
72,88,88,26,1
62,84,88,26,1
62,74,66,26,1
70,88,68,26,1
78,92,74,26,1
72,82,74,26,1
100,82,74,26,1
100,92,74,26,1
94,94,52,26,1
100,90,52,26,1
84,96,64,26,1
66,98,64,26,1
66,82,70,26,1
88,84,58,26,1
88,86,86,26,1
74,82,68,26,1
70,88,88,26,1
70,88,86,26,1
54,66,86,26,1
54,66,86,26,1
54,66,98,26,1
54,86,80,26,1
80,98,68,26,1
86,84,60,26,1
70,88,92,26,1
70,88,68,26,1
84,86,74,26,1
94,86,74,26,1
94,84,60,26,1
90,80,60,26,1
90,88,72,26,1
74,88,76,26,1
74,92,82,26,1
72,98,82,26,1
72,68,82,26,1
72,70,92,26,1
72,74,92,26,1
72,70,78,26,1
72,54,78,26,1
74,88,86,26,1
78,86,86,26,1
64,66,64,26,1
76,86,70,26,1
60,84,70,26,1
70,74,68,26,1
84,90,62,26,1
76,100,74,26,1
96,86,74,26,1
62,86,54,26,1
62,78,52,26,1
62,84,52,26,1
62,82,70,26,1
74,86,48,26,1
90,90,80,26,1
82,96,72,26,1
92,100,72,26,1
100,96,58,26,1
70,84,68,26,1
70,92,68,26,1
90,72,64,26,1
74,82,72,26,1
60,92,68,26,1
58,90,68,26,1
58,80,76,26,1
74,68,70,26,1
74,68,70,26,1
74,64,70,26,1
74,52,98,26,1
74,82,78,26,1
58,64,68,26,1
62,70,58,26,1
68,100,66,26,1
58,74,64,26,1
82,92,76,26,1
62,84,86,26,1
60,94,62,26,1
86,70,62,26,1
94,100,58,26,1
100,100,58,26,1
92,94,58,26,1
74,92,58,26,1
74,86,60,26,1
64,82,64,26,1
64,82,70,26,1
64,62,78,26,1
58,68,60,26,1
74,68,62,26,1
80,68,60,26,1
80,68,68,26,1
68,68,76,26,1
88,86,46,28,2
86,78,46,28,2
94,78,28,28,2
100,94,48,28,2
100,84,40,28,2
100,94,40,28,2
100,54,48,28,2
100,86,44,28,2
96,94,56,0,2
80,100,56,0,2
94,100,56,0,2
96,98,44,0,2
82,100,44,0,2
100,100,54,0,2
100,100,48,0,2
100,100,48,30,2
100,100,42,30,2
100,66,42,30,2
98,98,48,30,2
100,90,48,30,2
90,100,0,0,2
90,94,66,0,2
90,98,54,0,2
100,100,50,0,2
100,100,64,0,2
92,96,50,0,2
88,100,42,0,2
94,100,34,0,2
98,100,48,0,2
100,100,48,0,2
96,100,50,0,2
100,100,50,18,2
100,100,50,18,2
92,100,42,18,2
96,100,42,18,2
100,100,50,18,2
100,100,46,18,2
100,100,46,18,2
66,100,46,18,2
66,100,52,30,2
88,100,56,30,2
92,100,62,30,2
80,100,50,30,2
84,100,52,30,2
84,100,46,30,2
96,100,46,30,2
96,100,46,30,2
100,100,68,30,2
100,100,68,30,2
90,100,68,30,2
100,92,68,30,2
100,94,68,30,2
94,76,52,24,2
94,92,42,24,2
98,88,42,24,2
100,86,42,24,2
100,78,48,24,2
100,88,48,24,2
90,78,48,24,2
100,76,48,24,2
94,98,50,24,2
100,98,50,24,2
100,98,50,24,2
88,82,56,24,2
88,72,56,24,2
88,96,62,24,2
86,100,52,24,2
94,100,52,24,2
100,100,60,24,2
100,92,64,24,2
100,92,70,24,2
72,100,50,24,2
88,94,50,24,2
90,100,58,24,2
100,100,38,24,2
100,92,38,24,2
100,90,38,24,2
100,100,38,24,2
100,88,60,24,2
100,100,46,24,2
100,92,46,24,2
100,98,46,24,2
100,94,60,24,2
100,90,60,24,2
98,96,48,24,2
100,100,48,24,2
100,100,48,24,2
88,100,54,24,2
100,96,54,24,2
100,100,54,24,2
94,100,60,24,2
94,100,66,24,2
90,100,66,24,2
94,88,58,24,2
94,94,56,24,2
100,92,56,24,2
100,96,44,24,2
96,92,44,20,2
